YUXKDhvZlODJ5_QlrXIFLA	sleEMt44E1StWrjz3mcujQ	3	5	0.00476622562515,0.129088032358,0.133832287151,0.0236598349822,0.0496134597182,0.230718813185,0.0109453317364,0.00858321365897,0.29437320825,0.114419593335
YUXKDhvZlODJ5_QlrXIFLA	PljSz4JU2MCkG1kxIXl7WA	3	5	0.00172701386704,0.156332860083,0.031757514396,0.00976699036062,0.152495957434,0.290604101861,0.000974212530964,0.00211522441903,0.173361276294,0.180864848753
YUXKDhvZlODJ5_QlrXIFLA	wtsl05RJj5f6YBDQPEwP2w	2	5	0.00139275597251,0.0948741318123,0.12009875086,0.027825376696,0.0331528884189,0.509491504076,0.00274627874943,0.00685572957932,0.0959422866663,0.107620297169
YUXKDhvZlODJ5_QlrXIFLA	m8u49f6BQbnLBPujd6twaQ	4	5	0.0174354666029,0.0629965887761,0.0333031869465,0.0141030971739,0.153338842522,0.263668569542,0.0118148057363,0.0151632758223,0.318769189838,0.10940697704
YUXKDhvZlODJ5_QlrXIFLA	7x1E9Lq_igv072YecjeFfg	1	5	0.000781538237168,0.0149837937614,0.0206409067224,0.0192388971953,0.0309725662083,0.79974218973,0.00453976172336,0.00353478536313,0.0753431794895,0.0302223815691
YUXKDhvZlODJ5_QlrXIFLA	SpKVX3rt892E-BrL-yeqiw	3	5	0.0123845863376,0.062073491716,0.0592124999721,0.0331243015418,0.0938847695817,0.28043908873,0.0115497008144,0.0108038493823,0.245653605104,0.19087410682
1Aa3uOsnphBVSTrhPQynVg	Mc-HwQ4g44on75UTIe5JUg	5	9	0.00174098905822,0.0292548629912,0.0687645061167,0.0367272885489,0.0534103637306,0.408045067994,0.00910365126233,0.0283508114679,0.132954408731,0.231648050099
1Aa3uOsnphBVSTrhPQynVg	tBiAJtAB4RsXiB4uWxtWrA	5	9	0.0605722440001,0.171931607102,0.0829371110388,0.00882925170862,0.105364301728,0.156191887113,0.0118145891417,0.00238163724228,0.33180095739,0.0681764135362
1Aa3uOsnphBVSTrhPQynVg	ljf3XcM_bPh4cFGXXm3ZeA	5	9	7.95954852171e-05,9.55604119056e-06,2.37896397871e-05,0.000110747764189,0.00190927802223,0.000171835007086,0.0,1.47447344345e-06,0.000351488399167,0.997342235168
gkf1i_NNqZYGMkL-RZFTUQ	KaTHW1aGt5L-_edtR_ZZfA	5	5	0.0,3.75776230944e-05,2.15517352975e-05,2.64804221886e-05,4.31255684904e-08,0.999914034416,0.0,0.0,0.0,3.12678072497e-07
gkf1i_NNqZYGMkL-RZFTUQ	JgSnl-5-sStzDZZSIe8DJQ	5	5	0.0,3.75776230944e-05,2.15517352975e-05,2.64804221886e-05,4.31255684904e-08,0.999914034416,0.0,0.0,0.0,3.12678072497e-07
gkf1i_NNqZYGMkL-RZFTUQ	by8yXmhAu-m2aO_kt63aFA	5	5	0.000635453865439,0.0200025484596,0.0936403219308,0.282441218281,0.0584598832192,0.256438578517,0.00031334179652,0.00372785492605,0.0517300600901,0.232610738915
gkf1i_NNqZYGMkL-RZFTUQ	WTDOzVUj41Fpe9eRZP30FQ	5	5	0.0,3.75776230944e-05,2.15517352975e-05,2.64804221886e-05,4.31255684904e-08,0.999914034416,0.0,0.0,0.0,3.12678072497e-07
Tc31Xxq_730plC4imUphzA	ZRWDnvo07YZxxtrDYWf02A	2	4	0.0211743942841,0.0705233988287,0.0454888497608,0.0363769132844,0.0605769859731,0.206486250072,0.0106725499987,0.00385323061865,0.482235532633,0.0626118945469
