chmRlrWAdKFJ9LfWKG0Hww	dvO4zlxg3GoK_CiqbvtxbQ	4	0.00131651425254,0.0126964161657,0.00981346417969,0.209632577541,0.0810861974317,0.0154580854757,0.0026390181687,5.72532989172e-05,0.0394783462377,0.627822127248
RzkvUiAFUF9KrczXggDurg	maA9Fx7-ykcmzkkz6cEHiw	1	0.00743552776327,0.000877290675397,0.000913641763315,1.21134537563e-05,0.000377809337652,0.000786714604925,0.0,0.0,0.989419155281,0.000177747121081
CwRJTs41Iyq7VHtjZKpbrw	CSz3N4vSxbMZi1O2EXeKbQ	5	0.0,0.966035071964,0.000105560289013,0.0,0.000176486744997,0.00356818913054,0.0,3.59556024408e-05,0.0298327889307,0.000245947338284
5UjQ_ag5lXasxIEjMVzbLA	K5PfWwW61Ajommy9xvXdAw	5	0.00253748658293,0.603542200151,0.0947469467233,0.0161811026917,0.0285869639665,0.0209714649875,0.000402822763414,0.00712528756801,0.147675969794,0.0782297547715
zSGVkPVOm4ioEIDtT0U3MA	Gf9HbiraKNZpxbxwScHBVw	5	0.0040028131405,0.0717512902623,0.203255786847,0.0689577247515,0.120060915971,0.136461370054,0.0,0.0105644032546,0.166124467862,0.218821227856
2c3YHhPb0CCO-O708XmWNQ	lmDV-oW_dNn8kGHBbuNzXg	2	0.00206257937325,0.046957857845,0.0874936520858,0.125314850148,0.0605272909042,0.234012567766,0.00407849755402,0.00571196855533,0.118700955503,0.315139780266
2c3YHhPb0CCO-O708XmWNQ	_rrWTz0W1K_eWafh-8r3fA	5	0.00206257937325,0.046957857845,0.0874936520858,0.125314850148,0.0605272909042,0.234012567766,0.00407849755402,0.00571196855533,0.118700955503,0.315139780266
2c3YHhPb0CCO-O708XmWNQ	sBw0ZgTVeRgdOA3sfGIcwQ	4	0.00206257937325,0.046957857845,0.0874936520858,0.125314850148,0.0605272909042,0.234012567766,0.00407849755402,0.00571196855533,0.118700955503,0.315139780266
Au8zxtMKpouKEfG0GnXo-A	NMGkgrTGyNVAA5mnwYL5Ig	4	0.00301151487574,0.189645875274,0.0700652171379,0.0797494552941,0.0441272090362,0.282018031358,0.00738430626592,0.00847783906326,0.183545797202,0.131974754492
Au8zxtMKpouKEfG0GnXo-A	JCqFWCn31OMSk-vqF5aYNQ	4	0.00301151487574,0.189645875274,0.0700652171379,0.0797494552941,0.0441272090362,0.282018031358,0.00738430626592,0.00847783906326,0.183545797202,0.131974754492
Au8zxtMKpouKEfG0GnXo-A	SeQv-RJ2rS070NvSRh_siQ	3	0.00301151487574,0.189645875274,0.0700652171379,0.0797494552941,0.0441272090362,0.282018031358,0.00738430626592,0.00847783906326,0.183545797202,0.131974754492
Au8zxtMKpouKEfG0GnXo-A	r2pKiQ9LLaaVNNvBDfPd2w	4	0.00301151487574,0.189645875274,0.0700652171379,0.0797494552941,0.0441272090362,0.282018031358,0.00738430626592,0.00847783906326,0.183545797202,0.131974754492
Au8zxtMKpouKEfG0GnXo-A	l8B35OwrDUQTg5ojQu0tEA	3	0.00301151487574,0.189645875274,0.0700652171379,0.0797494552941,0.0441272090362,0.282018031358,0.00738430626592,0.00847783906326,0.183545797202,0.131974754492
